Tweet,Country,Topic,Sentiment,Sentiment_Expression,Sentiment_Target
قيل لحمدون بن أحمد رحمه الله:. ما بال كلام السلف أنفع من كلامنا ؟. قال: لأنهم تكلموا لعز الإسلام ، ونجاة النفوس ، ورض… https://t.co/9ujgGIVlN3,syria,religions,positive,explicit,كلام السلف أنفع من كلامنا
@Eng_sara91A انت دائما تذكرين انه متنامين بالليل وهذا جوز سبب الصداع وإني مريت بهذي الحاله والصداع اذا كان بمقدمة ا… https://t.co/YnOke8elsg,jordan,personal,negative,explicit,متنامين بالليل
تقرير اليوم في صحيفة واشنطن بوست يشير المعادلة الصفرية لإدارة #ترامب لم تنجح في إضعاف #إيران و #حزب_الله-. وإلى تهم… https://t.co/PXqYpJeMbd,jordan,politics,negative,explicit,إيران
الان اي مواطن يراجع اي جهه حكومية ولم تخدمه حسب النظام يرفع جواله ولا يرده الا رقم مكافحة الفساد خلونا ننظف البلد منهم. #الملك_يحارب_االفساد,jordan,politics,positive,explicit,جهه حكومية
@atyat1977 أسأل الله الذي لا يعجزه شيء في الأرض ولا في السماء أن يعطينا فيرضينا ويرزقنا فيغنينا .،ويجعلنا من السعدا… https://t.co/MdELm4QuUB,lebanon,religions,positive,explicit,أن يعطينا فيرضينا ويرزقنا فيغنينا
معالي رئيس مجلس إدارة الهيئة العامة للرياضة رئيس اتحاد التضامن الإسلامي يقدم دعماً للرياضة الفلسطينية بمبلغ مليون د… https://t.co/RUSQnVac06,palestine,sports,positive,explicit,دعماً للرياضة الفلسطينية
في عيوني دمع لا غبت يسيل وفي ضلوعي قلب لا جيت خفق ليت لي صبر مثل بالك طويل واعبر عيونك ولا اخاف الغرق https://t.co/I2y6Xg7xc0,syria,personal,negative,explicit,عيوني
يا اخ سليم !. عندما تعيش في مجتمع مريض حتماً ستمرض !!! ان لم تكون من العدوى ! ستكون من التعب وانت تقاوم ؟. كل شعوب… https://t.co/r6A2ORqzAU,palestine,personal,negative,explicit,مجتمع مريض
أنا: لا بس روعة الماسك الزومبي لي انتي عاملتي للهالوين . هي: زومبي ؟! انا كنت عم فرجيك اني حلوه بالميك اب ومن دونو !!. #العمى,lebanon,personal,positive,explicit,الماسك الزومبي
وحده معي بدوره مااعرفها بس اختها زميلة اختي المهم قالت لأختها اني جميله وأختها قالت لاختي واختي قالت لي 😂 ههههههههه المهم طرت من الوناسه🙈,palestine,personal,positive,explicit,قالت لأختها اني جميله
اسألوا داعش . اسألوا النصرة . اسألوا صهيون . اسألوا المارينز . قبل ما تجربوا حزب الله . يا ابناء عبد العزيز . العاصفة لن تهب مرتين,syria,politics,negative,explicit,العاصفة لن تهب مرتين
اني حتى المي الي هو من اهم الاشياء بالحياة حاطه منبه بالموبايل لان انسه اشربه ، انتو منو حتى ما انساكم ؟ 😅,syria,personal,negative,implicit,انتو منو
#حسن_نصرالله أمن لداعش على الحدود . السوريه اللبنانيه خروج امن وإعتراض إيراني و #حزب_الله على تهديد #امريكا بقصفهم قبل توجههم لدير الزور.,palestine,politics,negative,explicit,أمن لداعش
يالطواقي لو ما فاز فريقكم بكره حهريكم داخله خارجه خارجه دخل اقلب الطاقية اقلب الطاقية حهريك بكره 😂😂 #نهايي_اسيا_2017 https://t.co/lri15H22hS,palestine,sports,negative,explicit,الطاقية حهريك بكره
المسؤول بالخارجية الامريكية يلي اعلن عن مكافأة عن مسؤولين بحزب الله ١٢مليون $ لانه متأكد انو ما حدا قادر يطول معلومة حتى عنهم😆😆. #هبل_امريكي,lebanon,politics,negative,explicit,مكافأة عن
انا بستغرب جدا للبنات اللي بتبيع كرامتها علشان علاقه حب ! مع ان حبيبك ده هيحبك بقدر حفاظك علي كرامتك و احترامك لذاتك !! #je,palestine,personal,negative,explicit,ستغرب
@MadawiDr و النكتة انو السعودية مع حلفائها ما قدروا عالحوثي (بدون حلفاء عالارض) بس رح يقدروا ع حزب الله و حلفائه.. لبنان صغير بس عندو مقاومة,syria,politics,negative,explicit,حزب الله
لما نحكي ع بشار الأسد . يعني عم نحكي عن حدا حمى سوريا من الجهل و التخلف و الظلم . يعني عم نحكي عن يلي حمى السني و الشيعي و العلوي و المسيحي,lebanon,politics,positive,explicit,بشار الأسد
اللهم ثبت قلوبنا ب لا إله إلا الله ، واغفر لنا ب استغفر الله وارحمنا برحمتك التي وسعت كل شيء يا ذا الحلا والإكرام . آمين,palestine,religions,positive,explicit,"['اللهم ثبت قلوبنا ب لا إله إلا الله', 'قلوبنا ب لا إله إلا الله ، واغفر لنا ب استغفر الله وا', 'اللهم ثبت قلوبنا ب لا إله إلا الله ، واغفر لنا ب استغفر الله وارحمنا برحمتك التي وسعت كل شيء يا ذا الحلا والإكرام . آمين']"
@jerrymahers انت عميل لانك عم تطلب من السعودية ضرب حزب لبناني . السعودية ولو بدا تضرب الحزب فشرت ولا لا انت ولا الس… https://t.co/9vyPbVuwZf,syria,politics,negative,explicit,السعودية ضرب حزب لبناني
استطاع الرئيس #نبيه_بري ان ينال وعدا من #السيسي بأن لا يشارك في حصار #لبنان سياسيا واقتصاديا، وحديث السيسي عن عدم ف… https://t.co/1sbtX1OheP,syria,politics,positive,explicit,"['استطاع الرئيس #نبيه_بري ان ينال وعدا من #السيسي بأن لا يشارك في حصار #لبنان سياسيا واقتصاديا، وحديث السيسي عن عدم', 'استطاع الرئيس #نبيه_بري ان ينال وعدا من #السيسي', 'استطاع الرئيس #نبيه_بري ان ينال وعدا من #السيسي بأن لا يشارك في حصار #لبنان سياسيا واقتصاديا، وحديث السيسي عن عدم فرض عقوبات على #حزب_الله يندرج في هذا السياق، ولكن هل سيستطيع الصمو', 'الرئيس #نبيه_بري ان ينال وعدا من #السيسي']"
اكره واحد يحچي ع واحد اعرفه گدامي . لا عندي الجرأة انو اگله اسكت وانجب. ولا انا من النوعية الي ينقل حچي بحيث اروح للث… https://t.co/ZqBm6YA7Qe,jordan,personal,negative,explicit,"['اكره واحد يحچي ع واحد اعرفه گدامي لا عندي الجرأة', 'اكره واحد يحچي ع واحد اعرفه گدامي', 'اكره واحد يحچي ع واحد اعرفه گدامي لا عندي الجرأة انو اگله اسكت وانجب ولا انا من النوعية الي ينقل حچي بحيث اروح', 'اكره واحد يحچي ع واحد اعرفه گدامي لا عندي الجرأة انو اگله اسكت وانجب ولا انا من النوعية الي ينقل حچي بحيث اروح للث…']"
#سعد_الحريري خذها مني وخليها للتاريخ جايي وقتها ما حدا ركبلك الخازوق الا السعودية انشالله تكون عم تقرط زعتر قبل ما تنام مش انت تكون زعتر,lebanon,politics,negative,explicit,ركبلك الخازوق
مقارنتك مش بمحلها .... عم تقارني وضع لاجى بوضع مقيم ! وليش تقارنو نفسكن بالأسوء منكم ؟. لو تقارني الوضع كمقيم سوري و… https://t.co/dkifTr00Nj,jordan,personal,negative,explicit,وضع لاجى
"وفي كل مرة يمسّني الضر , أتذكر أني تحت ظلك أنت الذي لايُعجزك شيء , فأخجل من يأسي وضيق صبري , فاللهم أرضنى بما قضيت ..🙂",palestine,personal,positive,implicit,فاللهم أرضنى بما قضيت
يا زائري في زنزانتي . خبر بهية عن حالتي . قل لها يا عمتي . لو تدرين بمصيبتي . ذهبت لاقبض خرجيتي . فاخذ محمد حريتي . ليتن… https://t.co/uTWbWu89JK,syria,politics,negative,implicit,يا زائري في زنزانتي 
تعادل كان ظالم لاقصى الحدود الريال كان يستحق الفوز بنتيجة 4-0 على اقل تقدير فضائح تحكيمية بالجملة حالت دون ذلك😠,palestine,sports,negative,explicit,فضائح تحكيمية
@tala_baniodeh هدول مابغلب حالي فيهم😂 أنا اللي صادفتهم اليوم هم سبب انه وليد حد منيح هلا.,jordan,personal,positive,explicit,"['اللي صادفتهم اليوم هم سبب انه وليد حد منيح هلا.', 'وليد', 'هدول مابغلب حالي فيهم\uf602 أنا اللي صادفتهم اليوم هم سبب انه وليد حد منيح هلا.', 'هدول']"
@alboiji هناك دول ليس بها دين ابدا ومستقره ويوجد بها عداله اجتماعيه وهذا لايعني اني مع هذه الانظمه من الحكم ولكن كلمة حق انطق بها,palestine,politics,positive,explicit,دول ليس بها
"أجمل اللحظات حين يفاجئك ""الله"" عز وجل بشيء جميل كنت تنتظره وتدعو به ، فتبسم شفتاك وتغمض عينيك وتقول في سرك :. ""كنت أعلم أنك لن تردني يا الله""",jordan,religions,positive,explicit,"يفاجئك ""الله"""
النائب خالد الضاهر عبر الجزيرة يقول ان حزب الله سينسحب من سوريا قريبا. وانا أؤكد له بان الحزب قريبا سيدخل الرقة ويحررها من دنس الارهاب,syria,politics,negative,explicit,حزب الله سينسحب من سوريا
#كلام_الناس زياد بارود يدعو الى وضع بالاستقالة خلفنا والنظر إلى الأمام لأن تداعيات الأزمة خطيرة على كل اللبنانين وليس على فريق واحد فقط,lebanon,politics,negative,explicit,يدعو الى وضع بالاستقالة خلفنا
@DijlahTv فاين شباب السنة من المدن الحدودية - اليس المفروض ان يقوموا بحماية على الاقل اهلهم. وعندما يقولون انهم دواع… https://t.co/3JoTo9TyWI,jordan,politics,negative,explicit,شباب السنة من المدن الحدودية
مايساعدونا لا في الدرجات ولا يسهلولنا الاختبارات ويوقفو ضدنا ويقولك انو مدارس العقيق افضل مدارس اهلية في السعودية ل… https://t.co/Mxvfzdbh2S,palestine,politics,negative,explicit,مدارس اهلية في السعودية
@shwshaotbi لانه باع ضميره وصار تابع لهاني وعاجبه هاني وبده يصير مقدم مع هاني وحاتم بده يدقق له ديوانه كل هاد من دون مقابل شو المقابل ؟؟؟؟؟,palestine,personal,negative,explicit,لانه باع ضميره
قال #أمير_المؤمنين #الامام_علي (ع). من حاسب نفسه ربح . و من غفل عنها خسر. و من خاف أمن و من اعتبر أبصر . و من أبصر فهم… https://t.co/diiiwYlX1c,syria,religions,positive,explicit,من حاسب نفسه ربح
كي يعود #نادي #الحزم واجهة #الرس الى مكانه السابق الطبيعي #دوري_المحترفين_السعودي ،. اقل واجب ان نقدم لهم #الدعم وعل… https://t.co/Gd4Qg3HlEq,palestine,sports,positive,explicit,الرس الى مكانه السابق الطبيعي
خلال الأيام الأخيرة نفذت القيادة الجنوبية العسكرية نشاطات استكمالية لكشف وإحباط النفق الإرهابي والذي تم تحييده داخل الأراضي الإسرائيلية,jordan,politics,positive,explicit,لكشف وإحباط النفق الإرهابي
@kataeb_Ar ولا يمكن للوضع المالي ان يستقر قبل اخراج حزب الشمس الايراني من لبنان لا يمكن لعباد الشمس ان يفهمو الحضاره تسقط ايران,lebanon,politics,negative,explicit,للوضع
- لستُ وحدي ،. جالسٌ بجانبي وجعي ، وتلك الدموع التي تحتضن عيناي ، و لي قلبٌ يتألم و يبكي ؛. أنا لستُ وحدي ، فأنا معي .. !!,syria,personal,negative,explicit,جالسٌ بجانبي وجعي
نوال ويلس معو samsung كيف بيسمع الغنية ؟ 😀😀 اول مرا بتمنى ما يكون معي samsmung 😀 😘 . انتي بلقلب والغنية بلقلب @NawalElZoghbi,syria,entertainment,positive,implicit,الغنية
باقي كمان جولة ممكن مصر تحقق الفوز على غانا وتضمن التأهل. بس الأثر النفسي بعد هدف الكونغو ممكن يكون تأثيره على اللاعبين هائل,lebanon,sports,positive,explicit,تحقق الفوز
يعني عم نحكي عن الزلمة يلي بلاه سوريا كانت صارت. دولة تخلف و جهل و ناس بيدعوا الإسلام . يعني عم نحكي عن شموخ قاسيون و صمود قلعة حلب ✌❤,lebanon,politics,negative,explicit,دولة تخلف و جهل
@AJArabic الأمور عندما تترك معلقة وكانها لا شيء هنا يبدا الخطر لان الشعوب والاوطان ليست نزه بل اقدار وقرار ومصير وا… https://t.co/uNDfTLDgpU,syria,politics,negative,explicit,الشعوب والاوطان
@adelalkhawaldeh @jamilibrahim21 غير شفيع ولا عمل اشي - وشفيع يحسب له - بس المنتخب قبله كان بجنن ، اذا متذكر فترة ا… https://t.co/JucHXjStcL,lebanon,sports,positive,explicit,بس المنتخب قبله كان بجنن
ميقاتي استقبل وفدا من الجماعة الحوت: وحدة الطائفة السنية مقدمة لتماسك البلد والحفاظ على وحدته… https://t.co/860GuX0TR5,syria,politics,positive,explicit,والحفاظ
يمكن حكيك صح 😅. خلص رح أخفف . أصلا ما في اشي معين بحضره حاليا بس أوقات الزهق . بس وجهة نظرك صحيحه . شكرا 🌹,palestine,personal,positive,explicit,وجهة نظرك
#كانو_القمر . شو صار فيي بعد عيباتن يهل ترا عم يشعرو هني بحلف برب لخلق هالكون . رح ضل صليلن انا من هون واسكب دمعة عفراقن وغني,lebanon,personal,negative,explicit,اسكب دمعة عفراقن وغني
كرة القدم والتنافس الرياضي لغة مشتركة توحد جميع بني البشر.إن شاء الله سيتمكن #المنتخب_الاسرائيلي من تحقيق نفس الإنجاز في السنوات المقبلة,lebanon,sports,positive,explicit,والتنافس
بلغوا ذلك الاعلامي (عبدالله الهدلق ) بان #فلسطين موجودة قبل الكويت و اننا ها هنا باقون ما بقى فينا و في أبنائنا نف… https://t.co/klCZE259T3,palestine,politics,negative,explicit,موجودة قبل الكويت
بعد اعتراف وزير المال إنو الهدف من الضرائب مش تمويل السلسلة، انبسطوا اللي انْوَهموا وكانوا عم يهاجموا كل مين بيعترض عالضرائب؟. #ضرائب_بالقوة,lebanon,politics,negative,explicit,ضرائب_بالقوة
قاعدة عامة:. أي فلم بيعطيك عبدالعزيز الوثيري ركمنديشن لإله ما بتحضره إلا إذا كنت بوضع فش اشي تخسره... اما امتحانات والتزامات وتحضره رح تتدمر.,palestine,personal,negative,explicit,والتزامات وتحضره رح تتدمر
@jamalrayyan ما دامت السماء مفتوحة فوقكم ... لا يضيركم من يحاصرون حدودكم ... بابكم مع الله لا يغلقه احد ... توكلو… https://t.co/rhQQGmOdy7,lebanon,politics,positive,explicit,لا يضيركم من يحاصرون حدودكم
في بعض الاوقات نَحتاجُ العودة إلى أنفُسنَا ، فَقد أهمَلنَاهَا كثيراً.. ! . ولكن .. ماذا أحضرنا لها بعد الغياب ؟؟؟؟,syria,personal,negative,explicit,ماذا أحضرنا لها بعد الغياب
عندما تصبح جميع الألوان رمادية تصبح المشاعر و الأحاسيس بلا قيمة . فكم جميل لو تفاعلت الألوان جميعها لتخلق عالماً من نور تتحد فيه كل الألوان .,lebanon,personal,negative,implicit,المشاعر و الأحاسيس
في مثل بقول ادفشني وشوف ما اجحشني طبق على البرازيني والآن محمد بن سلمان وإنشالله ينعفى من يلي بعلمك منو https://t.co/vDwWP5gG4T,lebanon,politics,negative,explicit,والآن محمد بن سلمان وإنشالله
#حسن_نصرالله أمن لداعش على الحدود . السوريه اللبنانيه خروج امن وإعتراض إيراني و#حزب الله على تهديد #امريكا بقصفهم قبل توجههم لدير الزور.,palestine,politics,negative,explicit,حسن_نصرالله
نضغط الشاشه وحروفي تحاكيك. و الكل يقرأ .. ما كتبته .. و يفهم. :. إلا انت .. قلي يا غرورك ومعميك. خلك معه .. بكره تعلم .… https://t.co/6r0k8XxCha,syria,personal,negative,explicit,
أحترم أولاءك الذين يمرون بحياتنا.. يزرعون الحب، ويتركون العطر في ذاكرتنا، والغبطه في قلوبنا. أكثر ما راق لي في الصور… https://t.co/so7lcYfpSM,jordan,personal,positive,explicit,أحترم أولاءك
بدل ما ييجي عالبيت وياخذ مصاري عالحصص حكالي بس نعطل اصير اروح كل يوم عالمدرسة ويعطيني ساعتين ببلاش واختم المنهج معو ❤,jordan,personal,positive,explicit,"['محاربة الدروس الخصوصية\nالاهتمام بالتعليم العام', 'س نعطل اصير اروح كل يوم عالمدرسة و', 'مصارى', 'عالبيت', 'يعطيني ساعتين ببلاش واختم المنهج معو ❤']"
الان اي مواطن يراجع اي جهه حكومية ولم تخدمه حسب النظام يرفع جواله ولا يرده الا رقم مكافحة الفساد خلونا ننظف البلد منهم. #الملك_يحارب_االفساد,jordan,politics,positive,explicit,خلونا ننظف البلد
كأني أراه ! 🤣 الهلال يعشق اهداف جلادهم الصعب( اوي )مايعشق الصعب https://t.co/mXDG75daub,jordan,sports,positive,explicit,الهلال يعشق اهداف جلادهم
يا اول فرحة بعينيي واخر غيمات الشتويي. كلما شتى الحب عليي كلما رح قلك حبيتك. اووووف اووووف شو حبيتك. @elissakh . نقطة ع… https://t.co/Rrv6OFRnws,syria,personal,positive,explicit,يا اول فرحة بعينيي
"دمشق تعبّر عن إدانتها للبيان الصادر عن وزير الخارجية الفرنسي و""فيه اتهام جائر لسورية باستخدام الأسلحة الكيميائية في حادثة.",syria,politics,negative,explicit,الأسلحة الكيميائية
8/8/1988 يوم أعلان النصر العظيم يوم أنتصفت فيه العراق من العجم .. هل ستعلن المملكة النصر العظيم #عدوان_عسكري_مباشر https://t.co/05AYg44QTh,syria,politics,positive,explicit,"['يوم أعلان النصر العظيم يوم أنتصفت فيه العراق من العجم', '8/8/1988 يوم أعلان النصر العظيم يوم أنتصفت فيه العراق من العجم .. هل ستعلن المملكة النصر العظيم', '8/8/1988 يوم أعلان النصر العظيم يوم أنتصفت فيه العراق من العجم', '8/8/1988 يوم أعلان النصر العظيم يوم أنتصفت فيه العراق من العجم .. هل ستعلن المملكة النصر العظيم #عدوان_عسكري_مباشر']"
@khnayserJ طيب هني هديونا رستم غزاله !! ما كان فينا نهديهم اشرف ريفي وفارس سعيد ومروان حماده والقطيش ووووووكل هالبضاعه مع ورقه كادو ؟؟؟؟,lebanon,politics,negative,explicit,هالبضاعه مع ورقه كادو
الف الف مبروك للمنتخب السوري كسب احترام الجميع لعب بروح والعزيمه شكرا على كل شي قدمتوه على مدار التصفيات النهايه برغم الظروف #استراليا_سوريا,lebanon,sports,positive,explicit,الف الف مبروك للمنتخب السوري
مدينةٌ مثل دمشق .. بُنيت على تاريخ عريق ضارب في عمق هذه الأرض .. من المستحيل أن تنهار .. مدينة مثل دمشق ياسمينها أق… https://t.co/JPMNUBqId0,palestine,politics,positive,explicit,من المستحيل أن تنهار
حبيت حضور يارا وثقتا المقابلة كانت مهضومه وأعنقد هيي ل انقذت حلقة #لهون_وبس من الملل اليوم لأنو كانت الحلقة عادية جدا كنت متوقعا بداي اقوى !,lebanon,entertainment,negative,explicit,يارا وثقتا المقابلة كانت مهضومه
تم تدمير جميع المدن السنية بحجة داعش ؟. حاصروا وهددوا الكورد بحجة الاستفتاء ؟. طيب متى يتم محاسبة عملاء ايران على بي… https://t.co/0scPSbk7da,syria,politics,negative,explicit,الكورد
اتباع الأصول يقي المجهول وعدمها انتحار نواة ضياع ألمت بِنَا بالاتباع لنهج نظنه دواء وهو فالأفق داءً حمى الله لبنان وشعبه من الضياع,lebanon,politics,positive,explicit,اتباع 
#سعد_الحريري خذها مني وخليها للتاريخ جايي وقتها ما حدا ركبلك الخازوق الا السعودية انشالله تكون عم تقرط زعتر قبل ما تنام مش انت تكون زعتر,lebanon,politics,negative,explicit,سعد_الحريري
سبحان الله ما أشبه الليلة بالبارحة انها تشبه جمعت الهدام لعدنان خيرالله ومن معه وتصفيتهم في الجو . يتشابهون في كل شيء https://t.co/5ws2qRNPXF,jordan,politics,negative,implicit,جمعت الهدام لعدنان خيرالله
الجيش السوري بمساندة قوات من حزب الله يسيطرون بشكل كامل على مدينة البوكمال الاستراتيجية آخر اكبر معاقل داعش في سوري… https://t.co/Q3ggoYow3N,syria,politics,positive,implicit,لجيش السوري
إصرار حكومة #بغداد على تسلم المعابر الحدودية وأدارة المطارات وآبار النفط في #كوردستان هو إعلان ل إفلاسها والاعتماد على الاحتياطي لسد العجز,jordan,politics,negative,explicit,كوردستان
سيؤتينا الله من فضله. أنت في موعد دائم مع فضل الله . جدد يقينك وتوكل ، فإنه كريمٌ لا يغلق أبوابه في وجه من أقبل عليه,syria,personal,positive,explicit,فضل الله
عزيزي اللي تغرد ٢٨٠ حرف تاكد اني جالس اسحب على تغريدتك زي ماسحب على رسايل الواتس الطويله . تلوث بصري تويتر صار . #تويتر_280_حرفا,palestine,personal,negative,explicit,تلوث بصري تويتر
وزير العمل الفلسطيني مأمون أبو شهلا: برنامج لتشغيل . 20 ألف عامل وخريج. بشكل مؤقت في قطاع غزة، سيطبق مطلع العام… https://t.co/QeG5bnF9wY,palestine,politics,positive,explicit, ألف عامل
الله يحميك يا #ايميليو ويعطيك ايام حلوة عقد ما واجهت ايام بشعة ويا ريت كل الشباب عندن شجاعتك انت وأهلك انت رائع👍. بداية قوية ل #هوا_الحرية,lebanon,personal,positive,explicit,الله يحميك يا #ايميليو
@jerrymahers انت عميل لانك عم تطلب من السعودية ضرب حزب لبناني . السعودية ولو بدا تضرب الحزب فشرت ولا لا انت ولا الس… https://t.co/9vyPbVuwZf,syria,politics,negative,explicit,السعودية
من يحمل جنسية سعوديةويعلن إستقالته من الرياض لا يحق له توزيع شهادات وطنية وإنتماء. نحن مش ضد تحمل اي جنسية. لكن لا تحرق بلدك لعيون السعودي,lebanon,politics,negative,explicit,يعلن إستقالته من الرياض
@Versaci_ كانت توصل لان الفصائل كانت هواي وبعدين دخلوا للهيئة بس اللي عددهم على الاقل ٣٠٠٠ مقاتل وهواي تفاصيل ... بس صارت مكاشفه للوهميين,jordan,politics,negative,explicit,٣٠٠٠ مقاتل
اللهم عالم الغيب والشهادة فاطر السماوات والأرض رب كل شيء ومليكه أشهد أن لا إله إلا أنت أعوذ بك من شر نفسي ومن شر الشيطان وشركه.,lebanon,religions,positive,explicit,أعوذ بك من شر نفسي
الواحد حفظ نفسيتو وعرف انو لو حكى اشي معين هيصحى تاني يوم ندمان عليه فبطلت احكي 😂. الحمدلله😄. بس يارب انام قبل ما ارجع افكر بالموضوع😥,palestine,personal,negative,explicit,ندمان
بشرا ساره باذن الله لجميع اخصائي اجتماعي عاطل تسمعونها الايام القادمه باذن الله . أخوكم/مدير رابطة حقوق الخدمه الاجتماعيه . سلطان المطيري,jordan,jobs,positive,explicit,بشرا ساره باذن الله لجميع
"ربي إني أسألك أن تريح قلبي وفكري وأن تصرف عني شتات العقل و التفكير , ربي إن في قلبي أمورا لا يعرفها سواك فحققها لي… https://t.co/3ZI1UeLhtx",palestine,religions,positive,explicit,ربي إن
صار في فريقين جداد عالسّاحة. في جماعة #قاطعوا_الأم_تي_في و في #مطرود_من_عبود . أنا بحس حالي مع تاني فريق ، اسمو كول أكتر ..,lebanon,entertainment,negative,explicit,صار في فريقين جداد عالسّاحة
@Deema22 اخو اللي باع البيت والارض له صديقي وكان مشرف ع كل شي لان اخوه في امريكا والرقم معروف وكل شي مبين..واالي مش… https://t.co/Fp8j4dSgTa,lebanon,personal,negative,explicit,اخو اللي باع البيت
طبول الحرب تقرع نارالحرب في سورياتتمددلتحرق من حاول أن يحرق ثورتهاحزب الله أن الأوان لرد جمائلكم التي النار التي أشعلتموها سوف تكونواوقودها,jordan,politics,negative,explicit,أشعلتموها سوف تكونواوقودها
وسقطت الاقنعة المزيفة وأصبحت مكشوفة. فلتحلم كثيراً بالحرب على حزب الله ولكن لا تنسى قول الله في القران الكريم. فإن ح… https://t.co/boRqLfUPh9,syria,politics,negative,explicit,بالحرب على حزب الله
ليت اخواننا الاكراد - ان ينتبهوا لخيانة مسعود - سابقا - وحاليا - . ويؤمنوا ان لاحياة حرة سعيدة لهم بدون العراق بعرب… https://t.co/otfCe7QywY,syria,politics,negative,explicit,لخيانة
عندما يصرخ شخص ما في وجهك ، إحتفظ بهدوئك ، فهذا سيزيد غضبه في البداية ثم يشعر بالخجل ، ثم يشعر بالأذى أكثر مما شعرت أنت .,syria,personal,positive,explicit,يصرخ شخص ما في وجهك
@old_sportier وين ايامك يا جاسم يعقوب و الدخيل و جمعة عندما كان للكويت فريقا يحسب له الف حساب,jordan,sports,negative,explicit,وين ايامك يا جاسم يعقوب
@turki_tata هههههههههههههههه تاتا ما إلنا حل و الله حب الحقراء و الأشرار في دمنا ما في مجال يعني! كل مسلسل بنروح بن… https://t.co/fUq5RHyVJu,palestine,personal,negative,explicit,حب الحقراء و الأشرار
سفراء الاتحاد الأوروبي: ندعم وحدة لبنان واستقراره وعلى جميع الأطراف متابعة الحوار https://t.co/fCZuFQmrjH. #لبنان https://t.co/kKuQdnMnuY,syria,politics,positive,explicit,دعم وحدة لبنان واستقراره
اللي بخجل من بنت عمه؟؟؟وزير إسرائيلي: نعم لدينا علاقات مع السعودية وهي التي تخجل من إعلان الأمر ولسنا نحن! https://t.co/byQgRCPrRN,palestine,politics,negative,explicit,"['نعم لدينا علاقات مع السعودية وهي التي تخجل من إعلان الأمر ولسنا نحن', 'علاقات مع السعودية وهي التي تخجل من إعلان الأمر', 'اللي بخجل من بنت عمه\nهي التي تخجل من إعلان الأمر ولسنا نحن', 'وزير إسرائيلي']"
انا اردني ومن أصل اردني أتمنى يرجع للأردن كل مغترب اردني في السعودية بلاش ما يطلع عليكم هيك هاشتاغ… https://t.co/fj7RimU2Ht,palestine,politics,negative,explicit,اردني
"@r_als0lami @AlzandiM أرجو أن يتم اتخاذ أقسى العقوبات حيال تغريدة "" الزندي محمد "" ليكون رادعاً له و لغيره ... هذا ا… https://t.co/InUWyPpQrd",palestine,personal,negative,explicit,اتخاذ أقسى العقوبات 
أثبتت الأزمة الراهنة أن محور المقاومة في لبنان قادر على حماية البلد طالما يملك قرار الحرب والسلم . تصورو مثلأ يكون ا… https://t.co/8vnTWn69wN,syria,politics,positive,explicit,قادر على حماية البلد
@hayaa_alnahdi @AJArabic فالذي احب اشير اليه واحب ان تعرف من هم الشيعة ومن هم شيعة ايران ونحن نفتخر بايران ونحن نجل… https://t.co/cdoezH74pu,syria,politics,positive,explicit,ايران ونحن
صباح الخير للقلوب المستبشره بفرج الله !! صباح الرضا بما قسمه الله من أرزاق !! صباح النقاء والصفاء للقلوب الطاهره والعامره بالإيمان !!!,lebanon,personal,positive,explicit,للقلوب المستبشره
تذكّر.. يراك الله حين توجع قلبي؛ ويراني حين أدعو لك بالمغفرة؛ كأني أحبكَ بما لم يأمر به اللهُ لكنهُ لم يحرّمه.,lebanon,personal,negative,explicit,راك الله حين توجع قلبي
من ارسل على هذه الجموع المليونيه .؟وماذا يرمون ؟وماهي التجارب التي كسبوا منها عند توجههم الى حفيد نبيهم الذي طلب من… https://t.co/kwAqjTYn5i,jordan,religions,negative,explicit,الجموع المليونيه
لمن يكون وياك طفل ( @WaqarAbadi) بالطلعه ويظل يخبص الدنيا اذا ما اشتريناله ف لازم ترضيه بشي مثل هذا ........ طلعة مع… https://t.co/lcn1NyToRl,syria,personal,positive,explicit,لمن يكون وياك طفل
غرباء نحن الغارقون تحت رقاد الخيبة نتقاتل الفراغ لا وطن يجمعنا ولا أمان يظلل أحلامنا ونحاول أن نتقارب بالأرواح ونحن بالأصل غرباء وهل سنبقى,syria,personal,negative,explicit,نحن الغارقون تحت رقاد الخيبة
@YZN13_ حتى بعد رفاقي في الحزب كانوا مستغربين كيف اني ماشية ضد رأي الاغلبية الساحقة من ابناء الحركة التقدمية وبهالقوة !,lebanon,politics,positive,implicit,الحركة التقدمية وبهالقوة
والله العظيم عندي احساس كبير مرتبط بالتغقل ان الأسماء المنشورة لها علاقة بالفساد بس من باب احسان الظن والرفق سكتت.,jordan,politics,negative,explicit,الأسماء المنشورة لها علاقة بالفساد
استشهاد أحد مصوري التلفزيون العربي السوري محمد ميلاد إثر انفجار لغم به من مخلفات تنظيم داعش في ريف حمص الشرقي ▪ #اليمن_صرخة_حق,lebanon,politics,negative,explicit,استشهاد أحد مصوري التلفزيون
@jamalrayyan من بعد إعدام صدام حسين في صباح اول ايام عيد الأضحى - كالاضحية - إسرائيل إنتصرت في إحتلال 22 دولة عربيه ..,palestine,politics,negative,explicit,إسرائيل إنتصرت
اول عشر دقايق كانت مبلشه الحلقه حلوه بس بعدين صارت عاديه جدااا😒 ! لنشوف شو ناطرنا باقي الحلقه انشالله يكون شي اهضم متل ما بنتوقع. #لهون_وبس,lebanon,entertainment,negative,explicit,مبلشه الحلقه حلوه
